#ip addr, router1, port on router1, valid till
137.164.23.16,pwave-svl-sw-1,Vlan1021,1234325098
192.168.50.254,pwave-svl-sw-1,Vlan480,1158721399
192.168.10.1,pwave-svl-sw-1,Vlan8,1214507412
137.164.18.58,pwave-svl-sw-1,Vlan9,1320167011
137.164.23.16,pwave-svl-sw-1,Vlan1050,1235002249
210.229.103.110,pwave-svl-sw-1,Vlan2892,1227053734
137.164.18.70,sdg-agg-sw-1,Vlan10,253402300799
137.164.1.201,sdg-agg-sw-1,Vlan217,1282273559
137.164.41.131,bak-csu-sw-1-mgmt,Vlan110,253402300799
137.164.18.59,pwave-svl-sw-2,Vlan9,253402300799
137.164.18.102,svl-ts-mgmt,FastEthernet0/0,1164274738
137.164.21.158,svl-ts-mgmt,FastEthernet0/0.47,1205224206
1.1.1.1,svl-ts-mgmt,Loopback0,1205224206
137.164.21.14,svl-ts-mgmt,FastEthernet0/0.11,1205224206
137.164.18.102,svl-ts-mgmt,FastEthernet0/0.10,1205224206
137.164.18.69,sdg-sw-2-mgmt,Vlan10,1290153613
137.164.3.35,noc-cc-sw-2,Vlan4,253402300799
137.164.3.27,noc-cc-sw-1,Vlan3,253402300799
137.164.40.51,csuf-sw-1-mgmt,Vlan203,1100869228
137.164.27.153,oak-hpr,GigabitEthernet0/0/1,1094123676
137.164.27.153,oak-hpr,GigabitEthernet0/0/1,1121799780
137.164.27.153,oak-hpr,GigabitEthernet0/0/1,1210086633
137.164.27.157,oak-hpr,GigabitEthernet0/0/2,1094123676
137.164.27.157,oak-hpr,GigabitEthernet0/0/2,1121799780
137.164.27.157,oak-hpr,GigabitEthernet0/0/2,1256295951
137.164.27.137,oak-hpr,GigabitEthernet0/0/0.104,1256295951
137.164.27.181,oak-hpr,GigabitEthernet0/0/1.666,1210633826
137.164.25.245,oak-hpr,GigabitEthernet0/0/1.666,1255993527
137.164.27.129,oak-hpr,GigabitEthernet0/1/1,1121799780
137.164.27.129,oak-hpr,GigabitEthernet0/1/1,1256238329
137.164.22.41,oak-hpr,GigabitEthernet0/0/0.22,1163491407
137.164.22.39,oak-hpr,GigabitEthernet0/0/0.21,1163491407
137.164.27.17,oak-hpr,GigabitEthernet0/1/2,1256295951
137.164.27.109,oak-hpr,GigabitEthernet5/0,1256295951
137.164.27.153,oak-hpr,GigabitEthernet0/0/1.200,1256295951
137.164.17.5,oak-hpr,Loopback0,1269630007
137.164.17.1,oak-hpr,Loopback1,1269630007
137.164.17.253,oak-hpr,Loopback2,1269630007
137.164.25.16,oak-hpr,GigabitEthernet4/0,1262736333
137.164.25.9,oak-hpr,GigabitEthernet3/0,1193641409
137.164.25.9,oak-hpr,GigabitEthernet3/0,1269630007
137.164.22.85,oak-hpr,GigabitEthernet0/1/0,1131393797
137.164.22.85,oak-hpr,GigabitEthernet0/1/0,1256324724
137.164.27.105,oak-hpr,GigabitEthernet0/3/0,1175094123
137.164.25.249,oak-hpr,GigabitEthernet0/3/0,1255993527
137.164.27.137,oak-hpr,GigabitEthernet0/1/0.104,1089716540
137.164.18.131,oak-hpr,Ethernet0,1269630007
137.164.27.157,oak-hpr,GigabitEthernet0/0/0.321,1095246153
137.164.27.153,oak-hpr,GigabitEthernet0/0/0.333,1095246153
198.32.249.182,stan-dc3,Hssi4/0/0,1147868034
198.32.249.182,stan-dc3,Hssi4/0/0,1165583058
137.164.22.137,stan-dc3,GigabitEthernet0/0/0.252,1157064662
137.164.22.137,stan-dc3,GigabitEthernet0/0/0.252,1333800044
137.164.22.181,stan-dc3,GigabitEthernet0/0/0.251,1157064662
137.164.22.181,stan-dc3,GigabitEthernet0/0/0.251,1333800044
137.164.16.48,stan-dc3,Loopback0,1157064662
137.164.16.48,stan-dc3,Loopback0,1333800044
207.233.32.10,sm-cc-gk,FastEthernet0/0,253402300799
137.164.1.214,lax-dis-sw-1,Vlan224,1288926325
137.164.18.22,lax-dis-sw-1,Vlan10,253402300799
137.164.1.214,lax-dis-sw-1,Vlan449,1288407931
192.168.1.1,lax-dis-sw-1,Vlan202,1310872047
137.164.50.93,lax-dis-sw-1,Vlan332,1298693123
137.164.23.61,usf-2,Serial1/0,1335920448
2.2.2.2,usf-2,GigabitEthernet0/1,1177549428
137.164.38.72,usf-2,GigabitEthernet0/1,1178280289
137.164.38.82,usf-2,GigabitEthernet0/1,1335920448
137.164.39.140,usf-2,Loopback0,1335920448
207.233.79.4,cyp-cc-gk,FastEthernet0/0,253402300799
137.164.18.71,sdg-15530-1,FastEthernet0,1333911639
192.168.1.100,sdg-15530-1,EthernetDcc9/0/0,1333911639
137.164.31.132,sdg-15530-1,Loopback0,1333911639
137.164.31.17,sdg-15530-1,EthernetDcc10/0/0,1333911639
137.164.10.50,lt-usd-ts,Ethernet0,1338712208
1.1.1.1,lt-usd-ts,Loopback0,1338712208
209.129.10.15,cha-cc-gk,FastEthernet0/0,253402300799
137.164.45.1,lax-ts-1-mgmt,FastEthernet0/0.53,253402300799
137.164.45.193,lax-ts-1-mgmt,FastEthernet0/0.52,253402300799
137.164.45.187,lax-ts-1-mgmt,FastEthernet0/0.51,253402300799
1.1.1.1,lax-ts-1-mgmt,Loopback0,253402300799
137.164.42.109,lax-ts-1-mgmt,FastEthernet0/0.6,1322041236
137.164.21.65,lax-ts-1-mgmt,FastEthernet0/0.13,1322041236
137.164.21.81,lax-ts-1-mgmt,FastEthernet0/0.12,1322041236
137.164.21.1,lax-ts-1-mgmt,FastEthernet0/0.11,1322041236
137.164.18.3,lax-ts-1-mgmt,FastEthernet0/0.10,253402300799
207.233.97.229,207.233.97.229,FastEthernet0/0,1099559961
137.164.19.233,ucsf2-man-sw-1,Vlan13,253402300799
198.188.255.70,cm-cc,FastEthernet0/1,253402300799
205.154.158.1,cm-cc,FastEthernet0/0,253402300799
137.164.39.59,cm-cc,Loopback0,253402300799
137.164.32.121,cm-cc,Serial2/0,253402300799
137.164.10.34,sis-coe-ts,Ethernet0,1337243412
1.1.1.1,sis-coe-ts,Loopback0,1337243412
137.164.40.67,csusm-sw-1-mgmt,Vlan203,1100869228
137.164.18.135,oak-sw-1-mgmt,Vlan10,1291982413
137.164.45.62,oak-sw-1-mgmt,Vlan53,1274915172
137.164.6.66,la-usd-ts,Ethernet0,1337761813
1.1.1.1,la-usd-ts,Loopback0,1337761813
137.145.206.117,sb-csu,Ethernet0/0,1204313341
137.145.163.6,sb-csu,Serial2/2,1133316768
137.145.202.253,sb-csu,ATM4/0.2,1133316768
137.145.202.249,sb-csu,ATM4/0.1,1133316768
139.182.251.33,sb-csu,GigabitEthernet0/0,1204313341
137.164.39.187,sb-csu,Loopback0,1204313341
137.164.33.159,sb-csu,POS1/0,1204313341
137.164.42.21,yuma-sw-1-mgmt,Vlan459,253402300799
198.189.7.21,ker-cc-gk,FastEthernet0/0,253402300799
137.164.6.49,sbar-coe,FastEthernet4/0.10,253402300799
137.164.34.14,sbar-coe,Serial2/0,253402300799
137.164.39.175,sbar-coe,Loopback0,253402300799
137.164.34.72,sbar-coe,Serial1/1,1230170772
137.164.33.65,sbar-coe,Serial1/0,253402300799
137.164.33.65,sbar-coe,Serial1/0/0,1201324500
137.164.6.49,sbar-coe,FastEthernet0/0/0.10,1201324500
137.164.34.72,sbar-coe,Serial1/0/1,1201324500
204.48.139.233,sbar-coe,FastEthernet4/0.100,253402300799
137.164.6.49,sbar-coe,FastEthernet0/0/0,1089421581
204.48.169.254,sbar-coe,FastEthernet0/0/1,1201324500
204.48.139.233,sbar-coe,FastEthernet0/0/0.100,1201324500
204.48.169.254,sbar-coe,FastEthernet4/1,253402300799
163.150.15.189,sb-css,GigabitEthernet6/0/0,1198375580
137.164.33.15,sb-css,POS1/0/0,1100956062
137.164.34.15,sb-css,POS1/0/0,1198375580
137.164.32.85,sb-css,POS0/1/0,1198375580
137.164.39.130,sb-css,Loopback0,1198375580
137.164.39.227,sb-css,Loopback0,253402300799
137.164.34.68,sb-css,Serial3/0,1256260400
137.164.6.209,sb-css,FastEthernet0/0/0,1198375580
137.164.34.15,sb-css,POS2/0,1229048511
163.150.15.189,sb-css,GigabitEthernet0/3,253402300799
137.164.34.79,sb-css,GigabitEthernet0/2,253402300799
137.164.32.215,sb-css,GigabitEthernet0/1,253402300799
137.164.34.68,sb-css,Serial4/0/0,1198375580
137.164.6.209,sb-css,FastEthernet4/0,253402300799
137.164.31.49,ucr-15540-2,FastEthernet0,1126832411
137.164.31.135,ucr-15540-2,Loopback0,1126832411
137.164.31.19,ucr-15540-2,Wave0,1126832411
137.164.39.143,nv-usd,Loopback0,253402300799
137.164.34.54,nv-usd,Serial1/1,1235441536
137.164.34.56,nv-usd,Serial1/0,1240276306
137.164.8.209,nv-usd,FastEthernet0/0/0,1197770741
137.164.34.56,nv-usd,Serial1/0/0,1197770741
137.164.13.177,nv-usd,FastEthernet0/0/1,1197770741
137.164.34.54,nv-usd,Serial1/0/1,1197770741
137.164.13.177,nv-usd,GigabitEthernet0/3,253402300799
137.164.34.133,nv-usd,GigabitEthernet0/2,253402300799
137.164.50.44,nv-usd,GigabitEthernet0/1,253402300799
137.164.13.177,nv-usd,FastEthernet4/1,1257819163
137.164.8.209,nv-usd,FastEthernet4/0,253402300799
137.145.28.3,csac-ts-mgmt,Ethernet0,1168508337
137.164.45.129,csac-ts-mgmt,FastEthernet0/0.61,253402300799
137.145.28.3,csac-ts-mgmt,FastEthernet0/0,1181637632
137.164.18.166,csac-ts-mgmt,FastEthernet0/0,1182415232
1.1.1.1,csac-ts-mgmt,Loopback0,253402300799
137.164.45.225,csac-ts-mgmt,FastEthernet0/0.60,253402300799
137.164.21.139,csac-ts-mgmt,FastEthernet0/0.11,1253143453
137.164.18.166,csac-ts-mgmt,FastEthernet0/0.10,253402300799
137.164.31.50,ucr-15540-1,FastEthernet0,1126322802
137.164.31.134,ucr-15540-1,Loopback0,1126322802
137.164.31.9,ucr-15540-1,Wave1,1126322802
137.164.42.37,pdc-dc3,GigabitEthernet0/2,1339528282
137.164.40.105,pdc-dc3,GigabitEthernet0/1,253402300799
137.164.16.59,pdc-dc3,Loopback0,253402300799
137.164.18.111,ucb-sw-2-mgmt,Vlan10,1314100842
137.164.18.200,tus-15530-1,FastEthernet0,1265678619
137.164.31.131,tus-15530-1,Loopback0,1265678619
137.164.31.16,tus-15530-1,EthernetDcc10/0/0,1265678619
137.164.18.109,moffett-sw-1-mgmt,Vlan10,253402300799
137.164.3.75,moffett-sw-1-mgmt,Vlan197,1340759530
129.8.13.13,fre-csu-gk,FastEthernet0/0,253402300799
205.153.156.200,pal-cc-gk,FastEthernet0/0,253402300799
163.150.224.1,cj-usd,GigabitEthernet6/0/0,1195956338
137.164.33.14,cj-usd,POS1/0/0,1100956062
137.164.34.14,cj-usd,POS1/0/0,1195956338
137.164.32.117,cj-usd,POS0/1/0,1195956338
137.164.39.58,cj-usd,Loopback0,253402300799
137.164.6.193,cj-usd,FastEthernet0/0/0,1195956338
137.164.34.14,cj-usd,POS2/0,1229048511
137.164.32.117,cj-usd,POS1/0,1229134319
163.150.224.1,cj-usd,GigabitEthernet0/3,253402300799
137.164.34.78,cj-usd,GigabitEthernet0/2,253402300799
137.164.34.127,cj-usd,GigabitEthernet0/1,253402300799
137.164.6.193,cj-usd,FastEthernet3/0,1339722675
205.154.226.1,cccco-colo,GigabitEthernet0/3,253402300799
137.164.1.93,cccco-colo,GigabitEthernet0/1,253402300799
137.164.39.172,cccco-colo,Loopback0,253402300799
137.164.50.197,cccco-colo,FastEthernet1/0,253402300799
137.164.18.51,lax-600-6509,Vlan9,1100908807
137.164.18.51,lax-600-6509,Vlan800,1089255752
137.164.18.51,pwave-lax600-sw-1,Vlan9,253402300799
137.164.18.22,lax-sw-2-mgmt,Vlan10,1286002827
137.164.1.152,lax-sw-2-mgmt,Vlan221,1274497524
192.168.0.1,lax-sw-2-mgmt,Vlan400,1286002827
137.164.18.113,svl-dis-sw-1,Vlan10,253402300799
153.18.253.126,da-cc,GigabitEthernet0/3,253402300799
137.164.1.23,da-cc,GigabitEthernet0/1,253402300799
153.18.253.126,da-cc,FastEthernet0/0,1219407035
137.164.39.67,da-cc,Loopback0,253402300799
137.164.32.141,da-cc,Serial2/0,253402300799
137.151.126.8,ful-csu-gk,Vlan1,1207181308
137.151.123.190,ful-csu-gk,Vlan1,253402300799
137.151.123.1,ful-csu-gk,Vlan2,253402300799
207.233.123.6,207.233.123.6,Vlan2,1099559960
137.164.41.19,nor-csu-sw-2-mgmt,Vlan110,1343304753
137.164.41.19,nor-csu-sw-2-mgmt,Vlan251,253402300799
137.164.33.126,lt-cc,Serial1,1095383236
137.164.33.122,lt-cc,Serial0,1095383236
198.189.128.1,lt-cc,Ethernet0,1095383236
137.164.33.13,lt-cc,Serial2/0,253402300799
198.189.128.1,lt-cc,GigabitEthernet0/1,253402300799
198.189.128.1,lt-cc,FastEthernet0/0,1324570956
137.164.39.181,lt-cc,Loopback0,253402300799
137.164.31.3,ucla-15540-1,Wave0,1265940015
137.164.31.136,ucla-15540-1,Loopback0,1265940015
204.102.84.1,pv-cc,FastEthernet0/0,253402300799
137.145.113.101,pv-cc,Serial1,1193274441
137.145.113.89,pv-cc,Serial0,1193274441
137.164.39.166,pv-cc,Loopback0,253402300799
137.145.113.89,pv-cc,Serial2/0:0,1209690345
137.145.113.101,pv-cc,Serial2/1:0,1209690345
137.164.32.243,pv-cc,Serial1/0,253402300799
204.102.84.1,pv-cc,Ethernet0,1193274441
137.164.40.19,sac-dc3,GigabitEthernet6/0/0.28,1299888010
137.164.33.117,sac-dc3,Serial0/1/3:0,1089154942
192.168.1.2,sac-dc3,Serial0/1/3:0,1089169345
137.164.33.117,sac-dc3,Serial0/1/3:0,1161111807
137.164.33.117,sac-dc3,Serial0/1/3:0,1291435532
137.145.28.1,sac-dc3,Ethernet0/0/0,1183100588
137.145.11.66,sac-dc3,Ethernet0/0/1,1249585523
137.164.38.121,sac-dc3,Ethernet0/0/1,1299888010
137.164.33.214,sac-dc3,Serial0/1/7:0,1299888010
137.164.16.43,sac-dc3,Loopback0,1299888010
137.164.33.109,sac-dc3,Serial0/1/4:0,1299888010
137.164.33.212,sac-dc3,Serial0/1/6:0,1299888010
137.164.33.125,sac-dc3,Serial0/1/1:0,1095433354
137.164.33.214,sac-dc3,Serial0/1/1:0,1168387317
137.164.33.121,sac-dc3,Serial0/1/0:0,1095433354
137.164.33.212,sac-dc3,Serial0/1/0:0,1168387317
137.164.40.17,sac-dc3,GigabitEthernet4/0/0,1299888010
137.164.33.113,sac-dc3,Serial0/1/2:0,1299888010
137.164.22.112,sac-dc1,GigabitEthernet0/0/0.20,1117710482
137.164.22.112,sac-dc1,GigabitEthernet0/0/0.20,1210979423
137.164.38.133,sac-dc1,GigabitEthernet3/0/4.97,1345273634
137.164.33.184,sac-dc1,Serial5/1:2,1098889402
137.164.50.117,sac-dc1,GigabitEthernet0/0/0.115,253402300799
137.164.32.192,sac-dc1,Serial5/0:6,1287068795
137.164.41.201,sac-dc1,GigabitEthernet3/0/4,1254841616
198.189.255.129,sac-dc1,GigabitEthernet8/2.51,1118862182
198.189.255.97,sac-dc1,GigabitEthernet8/2.51,1189940597
204.102.113.1,sac-dc1,GigabitEthernet8/2.50,1118818982
198.189.255.65,sac-dc1,GigabitEthernet8/2.50,1189940597
137.164.18.185,sac-dc1,GigabitEthernet8/0.130,1189940597
137.164.21.129,sac-dc1,GigabitEthernet8/2.11,1131077023
137.164.21.129,sac-dc1,GigabitEthernet8/2.11,1189940597
137.164.23.73,sac-dc1,GigabitEthernet4/0/1,1335467315
192.168.69.69,sac-dc1,Serial5/0:2,1093892554
192.168.69.69,sac-dc1,Serial5/0:2,1094137350
137.164.33.12,sac-dc1,Serial5/0:2,1289491530
137.164.18.177,sac-dc1,GigabitEthernet4/0/3.131,1284678375
137.164.22.40,sac-dc1,GigabitEthernet3/0/9,1284606347
137.164.23.26,sac-dc1,POS4/2,1139256286
137.164.22.42,sac-dc1,GigabitEthernet4/0/4,253402300799
137.164.29.49,sac-dc1,GigabitEthernet0/0/0.39,1117710482
137.164.29.49,sac-dc1,GigabitEthernet0/0/0.39,1213715412
137.164.35.94,sac-dc1,GigabitEthernet4/0/6,253402300799
137.164.1.224,sac-dc1,GigabitEthernet3/0/8,253402300799
137.164.46.255,sac-dc1,GigabitEthernet6/0/0,1213715412
137.164.47.23,sac-dc1,GigabitEthernet6/0/0,253402300799
137.164.23.54,sac-dc1,GigabitEthernet4/0/2,1241708710
137.164.23.21,sac-dc1,GigabitEthernet4/0/2,1342710702
137.164.22.40,sac-dc1,GigabitEthernet4/0/3,253402300799
137.164.18.185,sac-dc1,GigabitEthernet1/0.130,1279839917
137.164.40.100,sac-dc1,GigabitEthernet4/0/8,1304723118
137.164.40.102,sac-dc1,GigabitEthernet4/0/9,1304723118
137.164.30.97,sac-dc1,GigabitEthernet0/0/0.29,1213715412
137.164.32.200,sac-dc1,Serial5/0:1,1221016236
137.164.18.161,sac-dc1,GigabitEthernet0/0/0.10,1117710482
137.164.18.161,sac-dc1,GigabitEthernet0/0/0.10,1213715412
137.164.30.97,sac-dc1,GigabitEthernet4/0/0.29,253402300799
137.164.40.102,sac-dc1,GigabitEthernet0/1/0,1117710482
137.164.40.102,sac-dc1,GigabitEthernet0/1/0,1213715412
137.164.18.185,sac-dc1,GigabitEthernet4/0/4.130,253402300799
198.189.255.97,sac-dc1,GigabitEthernet1/2.51,1300216538
137.164.40.12,sac-dc1,GigabitEthernet4/0/0.23,1282172718
137.164.32.198,sac-dc1,Serial5/0:9,1221750614
137.164.23.73,sac-dc1,GigabitEthernet0/0/1,1117710482
137.164.23.73,sac-dc1,GigabitEthernet0/0/1,1213715412
137.164.40.100,sac-dc1,GigabitEthernet0/0/2,1096642958
137.164.40.100,sac-dc1,GigabitEthernet0/0/2,1117710482
137.164.40.100,sac-dc1,GigabitEthernet0/0/2,1213715412
137.164.22.152,sac-dc1,GigabitEthernet8/0.30,1189940597
137.164.41.201,sac-dc1,GigabitEthernet0/0/0.110,253402300799
137.164.18.161,sac-dc1,GigabitEthernet4/0/0.10,253402300799
137.164.50.26,sac-dc1,GigabitEthernet4/0/5,253402300799
137.164.40.108,sac-dc1,GigabitEthernet0/1/1,1117710482
137.164.40.108,sac-dc1,GigabitEthernet0/1/1,1213715412
137.164.33.128,sac-dc1,POS4/0,1187118197
137.164.32.188,sac-dc1,Serial5/0:3,1201204991
137.164.32.154,sac-dc1,Serial5/0:3,1287068795
137.164.32.204,sac-dc1,Serial5/0:3,1317135974
137.164.32.204,sac-dc1,Serial5/0:3,1339009579
137.164.23.54,sac-dc1,GigabitEthernet0/1/2,1213715412
137.164.32.190,sac-dc1,Serial5/0:5,1287083137
137.164.33.32,sac-dc1,Serial5/0:4,1287083137
137.164.32.206,sac-dc1,Serial5/0:4,1296187526
137.164.32.194,sac-dc1,Serial5/0:7,1202443395
137.164.38.133,sac-dc1,GigabitEthernet0/0/0.97,253402300799
137.164.32.206,sac-dc1,Serial5/1:4,1098889402
137.164.32.208,sac-dc1,Serial5/1:5,1098889402
137.164.46.142,sac-dc1,GigabitEthernet3/0/1,253402300799
137.164.46.140,sac-dc1,GigabitEthernet3/0/0,253402300799
137.164.16.16,sac-dc1,Loopback0,253402300799
137.164.42.220,sac-dc1,GigabitEthernet3/0/6,253402300799
137.164.42.216,sac-dc1,GigabitEthernet3/0/5,1221520228
137.164.42.216,sac-dc1,GigabitEthernet3/0/5,1303283139
137.164.42.216,sac-dc1,GigabitEthernet3/0/5,253402300799
198.189.255.65,sac-dc1,GigabitEthernet7/0/0,253402300799
137.164.32.212,sac-dc1,Serial5/1:1,1098889402
137.164.50.117,sac-dc1,GigabitEthernet3/0/4.115,1345273634
137.164.38.121,sac-dc1,GigabitEthernet4/0/0.135,253402300799
137.164.40.16,sac-dc1,GigabitEthernet8/1,1189940597
137.164.41.201,sac-dc1,GigabitEthernet3/0/4.110,1345273634
137.164.46.146,sac-dc1,GigabitEthernet3/0/3,253402300799
137.164.46.80,sac-dc1,GigabitEthernet2/0/0,253402300799
137.164.22.127,sac-dc1,POS2/0,1124233380
137.164.22.127,sac-dc1,POS2/0,1224141013
137.164.32.197,sac-dc1,Serial5/0:8,1223421012
137.164.46.144,sac-dc1,GigabitEthernet3/0/2,253402300799
137.164.40.12,sac-dc1,GigabitEthernet0/0/0.23,1117710482
137.164.40.12,sac-dc1,GigabitEthernet0/0/0.23,1213715412
137.164.22.116,sac-dc1,GigabitEthernet0/0/0.21,1101240160
137.164.40.16,sac-dc1,GigabitEthernet1/1,1300216538
137.164.40.108,sac-dc1,GigabitEthernet4/0/7,1255935986
137.164.26.254,sac-dc1,GigabitEthernet4/0/7,253402300799
137.164.32.210,sac-dc1,Serial5/1:6,1098889402
198.189.255.65,sac-dc1,GigabitEthernet1/2.50,1241823898
137.164.32.202,sac-dc1,POS5/1:7,1098889402
137.164.29.49,sac-dc1,GigabitEthernet4/0/0.39,253402300799
137.164.22.111,sac-dc1,GigabitEthernet7/0,1225915821
198.189.255.65,sac-dc1,GigabitEthernet7/0,1300216538
137.164.32.16,sac-dc1,GigabitEthernet3/0/7,253402300799
137.164.22.145,sac-dc1,POS3/0,1098875005
137.164.40.104,sac-dc1,GigabitEthernet0/3/0,1087930955
137.164.41.201,sac-dc1,GigabitEthernet0/3/0,1213715412
137.164.22.152,sac-dc1,GigabitEthernet1/0.30,1314975938
198.189.255.97,sac-dc1,GigabitEthernet4/0/0.51,253402300799
137.164.16.1,sac-dc1,Loopback1,253402300799
206.78.35.38,fre-coe,GigabitEthernet0/3,1316221237
137.164.6.17,fre-coe,FastEthernet0/0/0,1197166308
137.164.32.119,fre-coe,GigabitEthernet0/1,1316221237
137.164.32.225,fre-coe,POS0/1/0,1197166308
137.164.39.108,fre-coe,Loopback0,1197166308
137.164.39.232,fre-coe,Loopback0,1316221237
206.78.35.38,fre-coe,GigabitEthernet6/0/0,1197166308
137.164.34.201,fre-coe,GigabitEthernet0/2,1316221237
137.164.6.17,fre-coe,FastEthernet4/0,1316221237
137.164.32.225,fre-coe,POS1/0,1197338743
159.115.17.200,coa-cc-gk,FastEthernet0/0,253402300799
137.145.200.101,hum-csu,Ethernet0/0,1146877209
137.164.33.71,hum-csu,POS3/0,1146877209
137.164.39.182,hum-csu,Loopback0,1146877209
137.150.17.1,hum-csu,FastEthernet2/0,1146877209
137.164.20.62,ucb-sw-1,Vlan10,253402300799
198.189.7.21,198.189.7.21,FastEthernet0/0,1099559960
137.164.42.142,tiju1-dis-sw-1,Vlan11,253402300799
137.164.33.118,coga-csu,Serial0/0,1172109896
137.164.33.114,coga-csu,Serial0/0,1292464815
137.164.33.114,coga-csu,Serial0/1,1171937043
137.164.33.114,coga-csu,Serial0/1,1172282674
137.164.33.118,coga-csu,Serial0/1,1292464815
198.189.139.1,coga-csu,FastEthernet0/0,1091236125
198.189.255.17,coga-csu,FastEthernet0/0,1292464815
137.164.39.180,coga-csu,Loopback0,1292464815
137.164.13.77,son-coe,GigabitEthernet6/0/0,1197684335
137.164.34.43,son-coe,Serial2/0,1226543163
137.164.34.57,son-coe,Serial0/1/1,1197684335
137.164.39.14,son-coe,Loopback0,1197684335
137.164.39.128,son-coe,Loopback0,253402300799
137.164.32.23,son-coe,Serial0/1/0,1197684335
137.164.34.57,son-coe,Serial1/1,1240276306
137.164.8.145,son-coe,FastEthernet0/0/0,1197684335
137.164.34.43,son-coe,Serial1/0/0,1197684335
137.164.33.58,son-coe,FastEthernet0/0/1,1197684335
137.164.13.77,son-coe,GigabitEthernet0/3,253402300799
137.164.34.16,son-coe,GigabitEthernet0/2,253402300799
137.164.32.83,son-coe,GigabitEthernet0/1,253402300799
137.164.33.58,son-coe,FastEthernet4/1,253402300799
137.164.8.145,son-coe,FastEthernet4/0,253402300799
137.164.50.45,son-coe,GigabitEthernet3/0,253402300799
205.155.154.254,sanjose-cc,FastEthernet0/0,1258722746
205.155.154.251,sanjose-cc,FastEthernet0/0,1312506034
137.164.39.203,sanjose-cc,Loopback0,1312506034
137.164.33.201,sanjose-cc,Serial2/0,1312506034
137.164.9.18,marin-coe-ts,Ethernet0,253402300799
1.1.1.1,marin-coe-ts,Loopback0,253402300799
137.164.10.146,hum-coe-ts,Ethernet0,253402300799
1.1.1.1,hum-coe-ts,Loopback0,253402300799
10.1.33.254,ah-cc-gk,FastEthernet0/1,1233968949
10.60.33.254,ah-cc-gk,FastEthernet0/1,253402300799
209.129.94.11,ah-cc-gk,FastEthernet0/0,253402300799
137.164.24.3,usf-1,GigabitEthernet0/1.2020,1320196372
137.164.3.9,usf-1,GigabitEthernet0/1,253402300799
137.164.39.131,usf-1,Loopback0,253402300799
137.164.24.5,usf-1,GigabitEthernet0/3.2021,1324347184
1.1.1.2,usf-1,GigabitEthernet0/2,1177463037
1.1.1.2,usf-1,GigabitEthernet0/2,1177549428
137.164.38.70,usf-1,GigabitEthernet0/2,1178280289
137.164.38.80,usf-1,GigabitEthernet0/2,253402300799
137.164.1.197,wharton-1,GigabitEthernet0/1.2020,1324558853
137.164.23.27,wharton-1,Serial2/0,1285204381
137.164.255.2,wharton-1,GigabitEthernet0/3,1324558853
137.164.1.28,wharton-1,GigabitEthernet0/2,1324558853
137.164.14.1,wharton-1,FastEthernet0/1,1245200795
137.164.1.28,wharton-1,FastEthernet0/1,1281442217
137.164.255.2,wharton-1,FastEthernet0/0,1281442217
137.164.39.213,wharton-1,Loopback0,1324558853
137.164.46.10,sdg-agg1,GigabitEthernet0/0/0,1242183994
137.164.46.12,sdg-agg1,GigabitEthernet0/0/1,1242183994
137.164.46.14,sdg-agg1,GigabitEthernet0/0/2,1242183994
137.164.50.28,sdg-agg1,GigabitEthernet0/0/2,253402300799
137.164.46.16,sdg-agg1,GigabitEthernet0/0/3,253402300799
137.164.47.110,sdg-agg1,GigabitEthernet6/0/0,1317841634
137.164.47.111,sdg-agg1,GigabitEthernet6/0/0,253402300799
137.164.40.106,sdg-agg1,GigabitEthernet2/0/4.2010,1295265931
137.164.46.156,sdg-agg1,GigabitEthernet0/0/9,1222211412
137.164.32.126,sdg-agg1,GigabitEthernet2/0/1,253402300799
137.164.16.104,sdg-agg1,Loopback0,253402300799
137.164.16.1,sdg-agg1,Loopback1,253402300799
137.164.23.92,sdg-agg1,Serial3/0:3,1302808222
137.164.32.128,sdg-agg1,Serial3/0:2,1302808222
137.164.32.132,sdg-agg1,POS3/1:4,1217977820
137.164.22.80,sdg-agg1,GigabitEthernet0/0/4.23,253402300799
137.164.24.161,sdg-agg1,Port-channel1.801,1276657511
137.164.32.124,sdg-agg1,Serial3/0:5,1302808222
137.164.32.122,sdg-agg1,Serial3/0:4,1302808222
137.164.23.129,sdg-agg1,GigabitEthernet1/0/0.821,253402300799
137.164.32.224,sdg-agg1,GigabitEthernet2/0/3,1277939119
137.164.41.137,sdg-agg1,GigabitEthernet2/0/0,1341716797
137.164.23.133,sdg-agg1,GigabitEthernet1/0/0.822,253402300799
137.164.47.15,sdg-agg1,GigabitEthernet4/0/0,253402300799
137.164.35.128,sdg-agg1,GigabitEthernet2/0/2,253402300799
137.164.18.65,sdg-agg1,GigabitEthernet0/0/4.10,253402300799
137.164.50.1,sdg-agg1,GigabitEthernet2/0/5,253402300799
137.164.23.29,sdg-agg1,GigabitEthernet1/0/0.803,253402300799
137.164.23.57,sdg-agg1,GigabitEthernet1/0/0.802,1254539152
137.164.23.53,sdg-agg1,GigabitEthernet1/0/0.801,253402300799
137.164.23.193,sdg-agg1,GigabitEthernet2/0/6,1228781123
137.164.22.240,sdg-agg1,GigabitEthernet0/0/6.461,253402300799
137.164.46.154,sdg-agg1,GigabitEthernet0/0/8,1219230623
198.189.255.5,sdg-agg1,GigabitEthernet3/0/0,253402300799
